subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CSO-13-8A-KIGAGU,-0.20512102575360838,-0.40666379939603314,-0.4898983942516288,0.14253966494618114,9,13.482297886986347
CSO-13-8A-MBUAN,-0.18292253923752994,-0.3091557862191667,-0.2887232794474844,-0.33774413921228547,8,13.322895697324972
CSO-13-8A-MGAAN,-0.14256325756887733,-0.33090808704794883,-0.3762408189255726,0.06721789939077431,25,13.658947177289813
CSO-13-8A-MGAHE,-0.15924165193756648,-0.17686235662705743,-0.5126859622548494,0.0033213224508376648,24,13.595972793072793
CSO-13-8A-MJAGA,-0.07161415646939377,-0.08286466507095726,-0.45782420910073646,0.023346886255903126,5,13.852485297056248
CSO-13-8A-VHODU,1.0357325998590357,-0.3288331044318711,-0.29366370097609423,0.019061579111092256,17,14.87373881500361
CSO-13-8B-FCJISA,-0.18444801456469193,-0.4940755859826215,-0.5239009745488108,-0.023186553296065445,11,13.215830313049247
CSO-13-8B-JEMABE,-0.1394378259041225,1.3286641158896486,0.8298246480748436,-0.0768591885570427,9,16.383633190944753
CSO-13-9B-DMLLLU,-0.121187640189282,-0.379329990569661,-0.42766986782366156,0.19511385735704914,26,13.708367800215886
CSO-14-7B-EVEGO,-0.12252743460254566,-0.4690087926160825,-0.5142441002019291,0.02813968409093688,4,13.363800798111816
CSO-14-8A-AQUMA,-0.20889915569518405,-0.32082348899378854,-0.3313920275763266,-0.06657386302533636,9,13.513752906150794
CSO-14-8A-SZARA,0.038543681844346984,2.48179574786349,2.9930295697085274,-0.03253023443502134,30,19.922280206422784
CSO-14-8B-JLLORA,-0.13629684425850813,-0.16866579431803327,-0.05144637106858116,0.04559690142540902,31,14.130629333221732
CSO-14-9A-AEDCAGO,-0.12894405292457176,-0.4260932059958381,-0.4445060265908836,-0.3449535617261656,7,13.096944594203983
CSO-14-9A-HASACA,-0.10869360361328448,-0.22900571108739515,-0.19708898715789,0.026500076145928773,19,13.933153215728806
CSO-14-9A-JSMAAL,-0.14731577495755788,-0.4760606522767616,-0.5089282158174818,-0.19253579204174548,10,13.116601006347896
CSO-14-9A-MARJA,-0.07728432954292869,-0.2471646446172381,-0.2429477905630506,0.025192062436733595,10,13.89923673915496
CSO-14-9A-SORZU,-0.2048607209174089,-0.3261353949777963,-0.24247339500810247,0.052129512597615,21,13.72010144313574
CSO-14-9B-ERAGA,-0.20735717315938543,-0.31656981503033443,-0.3348766447473377,0.031020134255269484,6,13.613657942759646
CSO-14-9B-MFEGA,-0.16986712065441553,0.9835904540629077,-0.4888124973738756,0.19148040078668344,27,14.957832678262738
CSO-15-10A-LJRAGU,0.06415818121192607,0.3877981854458702,1.4819467843684322,-0.10756515422386183,17,16.26777943824382
CSO-15-10A-MAARLO,-0.1577639227210237,-0.19918308605332005,0.7728962111342249,0.11193638135338553,14,14.9693270251547
CSO-15-10A-SFEGA,-0.21486032495335974,-0.2909065800794819,-0.25167114469224994,0.0727127080121628,5,13.756716099728509
CSO-15-10B-MEBUAR,1.0529513485148496,-0.31388570732362153,-0.29828666266845677,0.08785525746901994,16,14.970075677433236
CSO-15-10B-YVBUAN,-0.18291798710347482,-0.3666716378325781,-0.40998173674704824,0.10298600799920977,24,13.584856087757545
CSO-15-10C-SSCAMO,-0.03774785656463845,-0.19749939531773955,-0.10320556853072034,0.011083388419291022,10,14.114072009447645
CSO-15-11C-JETALO,-0.1800156808581632,0.32745917279265496,-0.6071239043565927,-0.05429784749857507,15,13.927463181520768
CSO-15-7B-JCRAGA,-0.1751110739007699,-0.16127258302184289,-0.019909422009001927,-0.23968094848056493,20,13.845467414029264
